GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,FireStationManagement,0,77,0,10,0,17,0,9,0,4
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,ChildrenInfoManagement,0,72,0,4,0,12,0,5,0,3
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,InhabitantManagement,0,95,1,13,0,18,1,9,0,3
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,MedicalRecordManagement,0,124,3,17,0,23,3,11,0,4
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,HomeInfoManagement,0,89,0,8,0,16,0,6,0,2
apiSafetyNet,com.safetynet.apiSafetyNet.service.management,PersonManagement,4,262,5,31,2,51,5,21,0,8
apiSafetyNet,com.safetynet.apiSafetyNet.controller,FireStationController,72,96,6,6,16,23,6,8,0,8
apiSafetyNet,com.safetynet.apiSafetyNet.controller,PersonController,88,102,7,7,19,25,7,9,0,9
apiSafetyNet,com.safetynet.apiSafetyNet.controller,MedicalRecordController,35,49,3,3,7,13,3,5,0,5
apiSafetyNet,com.safetynet.apiSafetyNet.configuration,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
apiSafetyNet,com.safetynet.apiSafetyNet.configuration,WebConfig,0,10,0,0,0,3,0,2,0,2
apiSafetyNet,com.safetynet.apiSafetyNet.service,PersonService,32,234,2,2,18,57,2,9,0,9
apiSafetyNet,com.safetynet.apiSafetyNet.service,MedicalRecordService,0,24,0,0,0,8,0,5,0,5
apiSafetyNet,com.safetynet.apiSafetyNet.service,FireStationService,27,225,5,5,11,51,4,10,0,9
apiSafetyNet,com.safetynet.apiSafetyNet.repository,MedicalRecordCRUD,35,333,8,10,17,69,9,8,1,7
apiSafetyNet,com.safetynet.apiSafetyNet.repository,PersonCRUD,35,284,8,10,17,64,9,7,1,6
apiSafetyNet,com.safetynet.apiSafetyNet.repository,FireStationCRUD,29,233,6,8,14,57,6,6,0,5
